SNR(dB),BER
0,3.084697e-01
2,2.651508e-01
4,2.199739e-01
6,1.734898e-01
8,1.287952e-01
10,8.806578e-02
12,5.425313e-02
14,2.950578e-02
16,1.350828e-02
18,5.006250e-03
20,1.381406e-03
