SNR(dB),BER
0,1.925888e-01
2,1.459668e-01
4,1.037243e-01
6,6.898619e-02
8,4.229337e-02
10,2.282531e-02
12,1.013434e-02
14,3.335469e-03
16,6.927500e-04
18,6.915625e-05
20,2.593750e-06
