SNR(dB),BER
0,3.123020e-01
2,2.714469e-01
4,2.320494e-01
6,1.975206e-01
8,1.695160e-01
10,1.486783e-01
12,1.340947e-01
14,1.245061e-01
16,1.185570e-01
18,1.151382e-01
20,1.138002e-01
