SNR(dB),BER
0,2.964113e-01
2,2.509219e-01
4,2.043574e-01
6,1.588183e-01
8,1.158336e-01
10,7.785361e-02
12,4.714598e-02
14,2.515334e-02
16,1.134969e-02
18,4.071031e-03
20,1.047328e-03
