SNR(dB),BER
0,1.750081e-01
2,1.241233e-01
4,7.890709e-02
6,4.399619e-02
8,2.095734e-02
10,8.002313e-03
12,2.171000e-03
14,3.420000e-04
16,2.284375e-05
18,4.375000e-07
20,3.125000e-08
