SNR(dB),BER
0,1.751602e-01
2,1.237945e-01
4,7.925078e-02
6,4.426797e-02
8,2.112969e-02
10,7.858594e-03
12,2.152344e-03
14,3.437500e-04
16,1.796875e-05
18,0.000000e+00
20,0.000000e+00
