SNR(dB),BER
0,2.966309e-01
2,2.513027e-01
4,2.043789e-01
6,1.589602e-01
8,1.157898e-01
10,7.769492e-02
12,4.707539e-02
14,2.520508e-02
16,1.127734e-02
18,4.167187e-03
20,1.023437e-03
