SNR(dB),BER
0,3.084295e-01
2,2.651057e-01
4,2.196582e-01
6,1.736963e-01
8,1.288865e-01
10,8.803642e-02
12,5.418475e-02
14,2.940423e-02
16,1.358175e-02
18,5.021359e-03
20,1.345687e-03
