SNR(dB),BER
0,2.868927e-01
2,2.370902e-01
4,1.877180e-01
6,1.414598e-01
8,9.795516e-02
10,5.903500e-02
12,2.808547e-02
14,9.365313e-03
16,1.798594e-03
18,1.417187e-04
20,4.218750e-06
