SNR(dB),BER
0,1.749212e-01
2,1.242222e-01
4,7.872031e-02
6,4.405094e-02
8,2.108563e-02
10,8.051250e-03
12,2.190000e-03
14,3.553125e-04
16,2.625000e-05
18,0.000000e+00
20,0.000000e+00
