SNR(dB),BER
0,2.966744e-01
2,2.512614e-01
4,2.047444e-01
6,1.584003e-01
8,1.158275e-01
10,7.777703e-02
12,4.722953e-02
14,2.520422e-02
16,1.130031e-02
18,4.075313e-03
20,1.086562e-03
