SNR(dB),BER
0,1.760955e-01
2,1.254027e-01
4,8.061964e-02
6,4.560714e-02
8,2.235982e-02
10,8.669643e-03
12,2.577679e-03
14,4.151786e-04
16,2.589286e-05
18,0.000000e+00
20,0.000000e+00
