SNR(dB),BER
0,3.005469e-01
2,2.552004e-01
4,2.082040e-01
6,1.631589e-01
8,1.206701e-01
10,8.425089e-02
12,5.456964e-02
14,3.301116e-02
16,1.845536e-02
18,1.001518e-02
20,5.645536e-03
