SNR(dB),BER
0,1.588094e-01
2,1.038555e-01
4,5.664922e-02
6,2.310625e-02
8,6.000000e-03
10,7.828125e-04
12,4.218750e-05
14,0.000000e+00
16,0.000000e+00
18,0.000000e+00
20,0.000000e+00
