SNR(dB),BER
0,2.875941e-01
2,2.374703e-01
4,1.875324e-01
6,1.414273e-01
8,9.785977e-02
10,5.899766e-02
12,2.801055e-02
14,9.388281e-03
16,1.831641e-03
18,1.507813e-04
20,4.296875e-06
