SNR(dB),BER
0,2.873267e-01
2,2.372236e-01
4,1.877368e-01
6,1.414344e-01
8,9.812014e-02
10,5.899978e-02
12,2.810084e-02
14,9.385969e-03
16,1.792781e-03
18,1.412500e-04
20,2.859375e-06
