SNR(dB),BER
0,1.585997e-01
2,1.039897e-01
4,5.650641e-02
6,2.299809e-02
8,6.009187e-03
10,7.853437e-04
12,3.296875e-05
14,4.375000e-07
16,0.000000e+00
18,0.000000e+00
20,0.000000e+00
